,email,label
1265,thank you that was exactly what i needed dvd works great now NUMBER more problem video dvdrip worked on rh NUMBER NUMBER but can t get contents of dvd last message is libdvdread using libdvdcss NUMBER NUMBER NUMBER for dvd access but it fails on sun NUMBER NUMBER NUMBER at NUMBER NUMBER chris kloiber wrote on sun NUMBER NUMBER NUMBER at NUMBER NUMBER alvie wrote hdparm dNUMBER dev hdc says operation not permitted dvd playback is very jumpy does someone have any ideas on what i can do yo get dma transfers thanks alvie add to etc modules conf options ide cd dma NUMBER chris kloiber _______________________________________________ rpm list mailing list rpm list freshrpms net URL _______________________________________________ rpm list mailing list rpm list freshrpms net URL ,0
1839,url URL date mon NUMBER sep NUMBER NUMBER NUMBER NUMBER gmt news com NUMBER URL is hoping to use more than the honor system to protect a payment method it established online last year NUMBER URL ,0
1308,i never claimed it could learn all combinatorial possibilities but it certainly can learn some c on thursday august NUMBER NUMBER at NUMBER NUMBER pm scott a crosby wrote on thu NUMBER aug NUMBER NUMBER NUMBER NUMBER NUMBER craig URL craig deersoft com writes it can learn combinatorial stuff in a more subtle way imagine no it can t it can learn a few examples that happen to be linearily seperable like those you gave it cannot learn the example i gave below which is not linearily seperable ,0
1693,so then tim peters tim one comcast net is all like i m not sure what you re doing but suspect you re storing individual wordinfo pickles if so most of the administrative pickle bloat is due to that and doesn t happen if you pickle an entire classifier instance directly yeah that s exactly what i was doing i didn t realize i was incurring administrative pickle bloat this way i m specifically trying to make things faster and smaller so i m storing individual wordinfo pickles into an anydbm dict keyed by token the result is that it s almost NUMBER times faster to score messages one per run our of procmail NUMBERs vs NUMBER NUMBERs however it does say all over the place that the goal of this project isn t to make the fastest or the smallest implementation so i guess i ll hold off doing any further performance tuning until the goal starts to point more in that direction NUMBER seconds is probably fast enough for people to use it in their procmailrc which is what i was after if you re desparate to save memory write a subclass that s probably what i ll do if i get too antsy trying to think of ways to sneak administrative pickle boat into casual conversation neale ,0
968, chris garrigues said from brent welch welch URL date wed NUMBER aug NUMBER NUMBER NUMBER NUMBER NUMBER well i ve used the check the modify time cache trick for files in many places not just exmh so some part of me certainly thinks it is effective however it occurred to me that if we do checkpoint state then aren t we modifying the sequences file for the current folder on every message read perhaps we look at the sequences file more than once per message view as i d written the code a few months ago we were reading the sequences file first to see what sequences were in it and then once per sequence this happens anywhere that we look at sequences most notably in ftoc_showsequences that seemed to be an obvious lose performancewise but i wanted my abstraction to have a separate call for what sequences are in this folder and what messages are in this sequence one option would have been to add another call to get the data off of disk but i felt that the check the modify time technique would be less error prone i like the check the modify time technique i think the biggest gains would be from augmenting ftoc_showsequences to allow a finer specification of what needs to be updated in the ftoc so that the current code would only be run when we really do have to update all sequences for all messages i described these thoughts in an email message yesterday and again if it can wait a few weeks i m willing to do it ok i ve yet to dive into the latest round of changes but i plan to i can say i ll make any progress but i may dabble thanks again for all your work in this area generalized sequence support has been on my to do list for about NUMBER years brent welch software architect panasas inc pioneering the world s most scalable and agile storage network URL welch URL _______________________________________________ exmh workers mailing list exmh workers URL URL ,0
2891,NUMBER lose NUMBER NUMBERlbs in NUMBER weeks flush fat away forever free NUMBER day supply URL NUMBER introducing chase platinum for students with a NUMBER introductory apr URL NUMBER access your pc from anywhere download now URL have a wonderful day prizemama you are receiving this email because you have opted in to receive email from publisher prizemama to unsubscribe click below URL irish linux users group social events social URL URL for un subscription information list maintainer listmaster URL ,1
1861,url URL date tue NUMBER sep NUMBER NUMBER NUMBER NUMBER gmt bruce loebrich NUMBER has scraped rss feeds for google news and a rss NUMBER NUMBER success story in other words it s okay to use the features in NUMBER NUMBER we re doing it at userland and so is bruce NUMBER URL ,0
784,on wed NUMBER NUMBER NUMBER at NUMBER NUMBER bitbitch URL wrote this kiddies was apparently the legislative beginnings of the whole streaming audio gets spanked by fees ruling that came down in the earlier parts of this year this first act applied to non exempt non subscription transmission services when congress got around in NUMBER and realized that webcasting services might be different though i honestly can t see how they wrote in the provision through the dmca to include such transmissions the restrictive law regarding audio is actually the accumulated cruft of NUMBER years of various legislative acts the totality of what we have now come from various parts of all the following re sound recordings NUMBER dmca NUMBER digital performance right in sound recordings act NUMBER audio home recording act NUMBER copyright act amendment NUMBER copyright act amendment it is worth noting that many people have forgotten about the NUMBER copyright act amendment which created the foundational law stating that the copyright owners have the right to limit personal use of audio recordings after first sale even if you are not making copies in any commercial sense sound recordings for many intents and purposes are explicitly excluded from fair use by the NUMBER amendment james rogers jamesr URL ,0
179,the electronic telegraph emigrate to russia that s a steppe too far filed NUMBER NUMBER NUMBER so you think you ve got it bad fed up with folkestone bored with birmingham or sick of sheffield those NUMBER per cent of britons according to a daily telegraph yougov survey this week who dream of a stress free life in sunnier climes should perhaps heed a word of friendly advice on the realities of living abroad kommersant a russian daily newspaper yesterday offered those dissatisfied with life in blair s britain a taste of what to expect should they choose to emigrate to provincial russia after reading about the gripes of affluent britons its tongue in cheek article admitted however that the grass was not always greener on the other side the inhabitants of foggy albion keen to travel could go to any russian city deep in the provinces where things are quiet said kommersant in any central russian district life by british standards is unseemingly cheap and remarkably laid back by NUMBERam most of the working population are becoming traditionally relaxed the time for elevenses in britain perhaps the opportunity for a quiet cup of tea and a chocolate hobnob is known in russia as the wolf hour it was so named in soviet times because at NUMBERam a wolf appeared from the famous animal clock at the obrasov puppet theatre in moscow it is also opening time in the nation s vodka shops and the vodka like all other spirits is cheap kommersant pointed out that the money a briton can earn from selling even the most shabby house would be enough to support them at the local standard of living for the rest of their life the local shops are full of all they would need and they could buy a bottle of whisky for kopecks there are NUMBER kopecks in a ruble and the ruble is currently worth about a halfpenny in sterling the whisky is cheap however because it is unlike anything the average briton will have consumed before it is made of samagon home distilled moonshine vodka coloured with tea and is a popular beverage in rural areas and among diehard alcoholics while alcohol is plentiful and cheap food may not be so easy to come by the newspaper pointed out that traditional british foodstuffs it selected oxtail soup as an example were in short supply however the wealth of the british settler should overcome the difficulty for a modest reward in most russian villages the locals would happily cut off the tails from the entire collective farm s herd of cattle one or two potential emigrés might be deterred by language difficulties there are few english speakers to be found among the green hills of tula on the mongolian border however kommersant pointed out language difficulties were not considered a deterrent by the NUMBER per cent of britons who nominated france as the country in which they would like to live france the russian paper claimed was a country where english is only known by the beggars belorussian prostitutes and russian tourists despite the low cost of living and the easy going lifestyle the russian weather remains a major stumbling block for britons even in the most temperate regions winter temperatures of NUMBERc are common and somewhere like the sakha republic east of siberia and the coldest place in the world enjoys just one month of summer and endures winter temperatures that drop below NUMBERc houses are built on concrete stilts because the permafrost makes digging foundations impossible again the russian paper had a word of reassurance while acknowledging the climatic problems it said that thanks to global warming this difficulty will solve itself kommersant also had an answer to the labour crisis that would be created in britain if NUMBER per cent of its citizens decided to opt for a life in russia thirty three million russians could be sent to britain to replace the NUMBER million who leave we think that the required number could probably be found amongst our citizens unfortunately for those NUMBER million russians however not one of those britons surveyed who wanted to move abroad nominated the russian steppes as their preferred new home yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ,0
111,having great fun trying to find a dumb adsl modem with ethernet presentation everybody wants to sell routers but i intend on doing pppoe from another device something with more than one ethernet port would be nice anybody got any recommendations uly original message from joefitz netsoc ucd ie to decdelmur iol ie cc ilug URL sent monday october NUMBER NUMBER NUMBER NUMBER am subject re ilug adsl router modem combo it seems to only support pppoa and not pppoe you need one that supports pppoe if you want torun it in routed ip mode if you are using it as a bridge it ll probably work but you d be left leaving the computer on which would defeat the purpose of getting a router the best router i ve come accross is the zyxel NUMBER eircom supply this but if you have alook online you can probably find it cheaper to buy online from america or the uk hope this is useful joe irish linux users group ilug URL URL for un subscription information list maintainer listmaster URL irish linux users group ilug URL URL for un subscription information list maintainer listmaster URL ,0
2933,you can save thousands of dollars over the course of your loan with just a NUMBER drop in your rate now is the time to take advantage of falling interest rates there is no advantage in waiting any longer URL refinance or consolidate high interest credit card debt into a low interest mortgage mortgage interest is tax deductible whereas credit card interest is not our nationwide network of lenders have hundreds of different loan programs to fit your current situation refinance second mortgage debt consolidation home improvement purchase by clicking on the link below and filling out the form the information you provide is instantly transmitted to our network of financial experts who will respond to your request with up to three offers this service is NUMBER free to homeowners and of course without obligation URL click here to delete your address from future updates URL ,1
1125, date sun NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER from brent welch welch panasas com message id NUMBER baaNUMBER blackcomb panasas com i would encourage folks to play with those NUMBER lines of code in text_selection and report what works well for them we may come up with NUMBER lines that work for everyone or perhaps introduce yet another setting that lets folks choose between a few useful models of course that s an admission of policy failure but i m willing to do that i actually think you re looking in the wrong place i at least have almost no problems with the choice of what gets pasted or selected that stuff for me if perhaps not users of some gnome variant which appraently has been fixed anyway all seems to work just fine the problem is that a button NUMBER click clears the selection primary where it shouldn t the previous selection should only be cleared when there s something else to replace it even if the highlighting of what is selected is removed try this in any other ramdom application from xterm to netscape and see how it works there normally is no mouse based way to actually clear the primary selection that is set it to be a null string then because of the if i get asked for the selection value i will find something behaviour if you click intending to set the insert point the way most other gui s operate and then paste because the primary is clear but exmh still owns the selection because nothing else has taken it it does and finds some other ramdom stuff from either the clipboard or cut buffer which tends to be something that was deleted back in the ancient past and pastes that that behaviour to me anyway is the real issue once that gets fixed we can switch back to operating the normal select stuff click at new insert point paste mode of operation that almost everyone expects to work whether the select stuff is somewhere in one of the exmh windows or elsewhere kre ps this message is from my experience as a exmh user only i ve never really understood enough about x and selections to go gazing at that part of the code and see how it all really operates _______________________________________________ exmh users mailing list exmh users URL URL ,0
2589, get a kick out of our huge annuity bonuses earn a NUMBER NUMBER cash bonus for every NUMBER annuity applications with any of our four top carriers by NUMBER NUMBER NUMBER deadline too soon no problem earn an NUMBER cash bonus for every NUMBER annuity applications with any of our four top carriers by NUMBER NUMBER NUMBER get your bonus call m o marketing today NUMBER NUMBER NUMBER or please fill out the form below for more information name e mail phone city state bonuses awarded from m o marketing on paid issued business for agent use only offer subject to change without notice offer starts NUMBER NUMBER NUMBER offer ends NUMBER NUMBER NUMBER offer good in all states except wi in de not available with all carriers we don t want anyone to receive our mailings who does not wish to receive them this is a professional communication sent to insurance professionals to be removed from this mailing list do not reply to this message instead go here URL URL legal notice URL ,1
2674, check out our NUMBER NUMBER NUMBER internet challenge tab tab bNUMBER what if you could have a protected job that allows you to work as little as two hours a week and it still pays you up to NUMBER NUMBER every week for the next NUMBER years well here it is take our NUMBER NUMBER NUMBER online challenge tab tab tab tab tab tab hyperlink check it out tab tab tab tab tab tab tab tab tab tab tab the sender of this message has stated its assurance that the sender complies with all state guidelines and codes regarding uce this transmittal is specifically not intended for residents of the state of washington if you wish to opt out of receiving of this message in the future please href URL click here and enter your email address thanks for your positive assistance ,1
2962,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ s p e c i a l r e p o r t how to reliably generate hundreds of leads and prospects every week _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ our research has found that many online entrepreneurs have tried one or more of the following free classifieds don t work anymore web site takes thousands of surfers banners expensive and losing their punch e zine hope they have a huge subscriber list search engines forget it unless you re in the top NUMBER s o w h a t d o e s w o r k although often misunderstood there is one method that has proven to succeed time after time e m a i l m a r k e t i n g does the thought of NUMBER NUMBER to NUMBER NUMBER NUMBER per year make you tingle with excitement many of our customers make that and more click here to find out how a href http NUMBER NUMBER NUMBER NUMBER seinet veriNUMBER http http NUMBER NUMBER NUMBER NUMBER seinet veriNUMBER a here s what the experts have to say about e mail marketing a gold mine for those who can take advantage of bulk e mail programs the new york times e mail is an incredible lead generation tool crains magazine click here to find out how you can do it a href http NUMBER NUMBER NUMBER NUMBER seinet veriNUMBER http http NUMBER NUMBER NUMBER NUMBER seinet veriNUMBER a if you no longer wish to hear about future offers from us send us a message with stop in the subject line by clicking here mailto listNUMBER URL please do not include any correspondence in your message to this automatic stop robot it will not be read all requests processed automatically NUMBER poNUMBER kj _NUMBERjNUMBERbjkNUMBER h t ,1
